trace,alive,last_step,num_episodes,mean_affinity_last500,max_affinity_last500,min_affinity_last500,mean_reward_last500,num_peptides,peptides
trace72_delta_from_trace70,True,843640,624,-0.9742460000000002,0.2658,-5.3284,-0.6841759999999999,0,N/A
trace70_gate_m1p5_from_trace61,True,644216,632,-1.2161500000000007,0.3487,-6.7635,-0.9179340000000002,0,N/A
trace61_dynamic_pool,True,613752,624,-1.2249926000000002,0.2208,-6.6969,-0.8502279999999998,0,N/A
trace78_aggressive_push,True,694840,632,-1.3579263999999998,0.6469,-6.6482,-1.0358620000000012,0,N/A
trace53_terminal_trace29_reward_L2only,True,793080,640,-1.8176541999999993,0.6311,-7.1543,-1.4742439999999992,0,N/A
trace73_curriculum_exploration,True,807160,776,-2.0089184,0.6213,-6.3162,-1.961428,0,N/A
trace84_push_to_zero,True,908856,848,-3.0295218000000053,0.0293,-7.9562,0.45170400000000105,0,N/A
trace62_multi_gates,True,1062392,949,-4.549909199999998,-2.0646,-8.8628,-4.475878000000007,0,N/A
trace83_curated_from_trace73,True,723768,944,-6.117489999999996,0.0818,-9.6364,-2.546002,0,N/A
trace86_per_step_reward,True,8440,176,-7.344892613636362,-5.7721,-8.4897,5.945931818181818,0,N/A
