trace,last_step,num_episodes,mean_affinity,max_affinity,min_affinity,mean_reward,num_peptides
trace72_delta_from_trace70,843640,624,-0.9742460000000002,0.2658,-5.3284,-0.6841759999999999,0
trace70_gate_m1p5_from_trace61,644216,632,-1.2161500000000007,0.3487,-6.7635,-0.9179340000000002,20
trace61_dynamic_pool,613752,624,-1.2249926000000002,0.2208,-6.6969,-0.8502279999999998,20
trace78_aggressive_push,694840,632,-1.3579263999999998,0.6469,-6.6482,-1.0358620000000012,20
trace53_terminal_trace29_reward_L2only,793080,640,-1.8176541999999993,0.6311,-7.1543,-1.4742439999999992,20
trace73_curriculum_exploration,807224,768,-2.0207718,0.6213,-6.3162,-1.9738619999999998,20
trace84_push_to_zero,909048,840,-3.0501260000000032,0.0293,-7.9562,0.46833800000000114,10
trace62_multi_gates,1062456,949,-4.553969199999998,-2.0646,-8.8628,-4.479940000000008,20
trace83_curated_from_trace73,723768,944,-6.117489999999996,0.0818,-9.6364,-2.546002,10
trace86_per_step_reward,8440,176,-7.344892613636362,-5.7721,-8.4897,5.945931818181818,10
