
Starting training for 500,000 timesteps...
Setting up PPO trainer: exp4_min_steps
  reward_mode=v2_full, n_envs=8
  weights: aff=1.0, decoy=0.4, nat=0.2, div=0.1
  min_steps=3, penalty=-2.0
  ERGO loaded
  ESM-2 loaded (dim=1280)
  pMHC loader: 163 targets
  TCR pool: 7280430 seqs, L0 targets=256/163
  Decoy scorer loaded (K=8)
  Naturalness scorer loaded
  Diversity scorer loaded
  VecEnv: 8 envs, obs_dim=2562
  Policy: 2,008,852 parameters
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1775923723.969258  404362 port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
I0000 00:00:1775923724.024235  404362 cpu_feature_guard.cc:227] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI AVX512_BF16 AVX512_FP16 AVX_VNNI AMX_TILE AMX_INT8 AMX_BF16 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1775923725.390882  404362 port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
Step     10,240 | Eps:   1897 | R:    0.733 | Len:   5.5 | PG:  -0.0287 | VF:   4.4458 | Ent:  5.365
Step     20,480 | Eps:   3765 | R:    0.371 | Len:   5.2 | PG:  -0.0201 | VF:   7.1247 | Ent:  5.169
Step     30,720 | Eps:   5656 | R:    0.334 | Len:   5.4 | PG:  -0.0175 | VF:   5.3974 | Ent:  5.155
Step     40,960 | Eps:   7578 | R:   -0.710 | Len:   5.7 | PG:  -0.0281 | VF:   4.4507 | Ent:  5.095
Step     51,200 | Eps:   9424 | R:   -0.280 | Len:   5.7 | PG:  -0.0229 | VF:   4.5407 | Ent:  5.337
Step     61,440 | Eps:  11266 | R:   -1.157 | Len:   5.4 | PG:  -0.0210 | VF:   4.9303 | Ent:  5.368
Step     71,680 | Eps:  13207 | R:   -0.189 | Len:   5.2 | PG:  -0.0242 | VF:   4.7731 | Ent:  5.215
Step     81,920 | Eps:  15261 | R:   -0.706 | Len:   4.6 | PG:  -0.0242 | VF:   5.3013 | Ent:  5.017
Step     92,160 | Eps:  17204 | R:   -0.215 | Len:   5.4 | PG:  -0.0156 | VF:   4.1221 | Ent:  4.993
Step    102,400 | Eps:  19262 | R:   -0.536 | Len:   5.4 | PG:  -0.0169 | VF:   4.2986 | Ent:  5.092
Step    112,640 | Eps:  21141 | R:    0.391 | Len:   5.8 | PG:  -0.0221 | VF:   3.7530 | Ent:  5.082
Step    122,880 | Eps:  22933 | R:   -0.242 | Len:   6.0 | PG:  -0.0060 | VF:   4.0492 | Ent:  5.046
